,Raw_missing_cols,Percentage
64488,2,14.2857
63595,2,14.2857
68289,2,14.2857
53835,2,14.2857
68295,2,14.2857
55863,2,14.2857
61866,2,14.2857
68298,2,14.2857
52349,2,14.2857
51912,2,14.2857
52314,2,14.2857
75917,1,7.1429
49084,1,7.1429
68213,1,7.1429
76810,1,7.1429
75918,1,7.1429
50136,1,7.1429
68218,1,7.1429
59962,1,7.1429
76811,1,7.1429
57098,1,7.1429
63570,1,7.1429
76805,1,7.1429
70663,1,7.1429
76812,1,7.1429
63572,1,7.1429
63883,1,7.1429
61263,1,7.1429
60972,1,7.1429
57099,1,7.1429
50166,1,7.1429
70902,1,7.1429
75391,1,7.1429
76861,1,7.1429
57062,1,7.1429
76864,1,7.1429
75920,1,7.1429
76863,1,7.1429
75919,1,7.1429
76862,1,7.1429
76806,1,7.1429
49906,1,7.1429
76807,1,7.1429
76865,1,7.1429
52165,1,7.1429
76866,1,7.1429
76860,1,7.1429
56743,1,7.1429
57063,1,7.1429
49907,1,7.1429
76808,1,7.1429
49163,1,7.1429
61358,1,7.1429
76809,1,7.1429
72487,1,7.1429
75921,1,7.1429
59955,1,7.1429
75855,1,7.1429
50769,1,7.1429
55365,1,7.1429
76857,1,7.1429
75852,1,7.1429
74829,1,7.1429
71694,1,7.1429
75853,1,7.1429
71695,1,7.1429
75854,1,7.1429
73634,1,7.1429
71696,1,7.1429
71165,1,7.1429
63554,1,7.1429
75856,1,7.1429
71166,1,7.1429
75857,1,7.1429
50753,1,7.1429
63561,1,7.1429
57067,1,7.1429
73128,1,7.1429
71168,1,7.1429
74812,1,7.1429
59958,1,7.1429
57066,1,7.1429
76858,1,7.1429
66488,1,7.1429
76813,1,7.1429
74521,1,7.1429
61856,1,7.1429
75847,1,7.1429
74489,1,7.1429
75916,1,7.1429
55640,1,7.1429
76814,1,7.1429
75848,1,7.1429
75684,1,7.1429
76815,1,7.1429
75849,1,7.1429
76816,1,7.1429
68442,1,7.1429
76859,1,7.1429
75634,1,7.1429
75850,1,7.1429
73720,1,7.1429
63569,1,7.1429
63562,1,7.1429
75851,1,7.1429
73721,1,7.1429
52327,1,7.1429
61851,1,7.1429
72431,1,7.1429
63559,1,7.1429
55364,1,7.1429
59968,1,7.1429
68168,1,7.1429
61046,1,7.1429
57094,1,7.1429
76797,1,7.1429
65188,1,7.1429
68409,1,7.1429
75912,1,7.1429
56842,1,7.1429
52113,1,7.1429
59963,1,7.1429
76882,1,7.1429
66552,1,7.1429
63546,1,7.1429
62867,1,7.1429
70150,1,7.1429
65221,1,7.1429
59953,1,7.1429
76880,1,7.1429
65222,1,7.1429
76879,1,7.1429
76786,1,7.1429
68217,1,7.1429
63498,1,7.1429
76785,1,7.1429
61857,1,7.1429
76796,1,7.1429
57093,1,7.1429
57096,1,7.1429
75913,1,7.1429
61285,1,7.1429
